tic,date,neg,neu,pos,compound
A,2023-08-15,0.14420000000000002,0.8558,0.0,-0.21056
A,2023-08-16,0.1514,0.762,0.0866,-0.06040000000000001
A,2023-08-17,0.0,1.0,0.0,0.0
A,2023-08-21,0.087,0.718,0.195,0.10975000000000001
A,2023-08-24,0.0,1.0,0.0,0.0
A,2023-09-01,0.0,1.0,0.0,0.0
A,2023-09-05,0.03183333333333333,0.9681666666666667,0.0,-0.06363333333333333
A,2023-09-12,0.0,0.828,0.172,0.3612
A,2023-09-14,0.0,1.0,0.0,0.0
A,2023-09-15,0.0,0.694,0.306,0.5267
A,2023-09-18,0.0,0.754,0.246,0.5103
A,2023-09-20,0.0,0.7736666666666667,0.22633333333333336,0.30339999999999995
A,2023-09-29,0.0,0.802,0.198,0.4939
A,2023-10-05,0.0,0.762,0.238,0.3612
A,2023-10-06,0.169,0.697,0.134,-0.1779
A,2023-10-10,0.0,1.0,0.0,0.0
A,2023-10-13,0.0,1.0,0.0,0.0
A,2023-10-19,0.0,0.781,0.219,0.4215
A,2023-10-23,0.0,0.9285,0.0715,0.1806
A,2023-10-26,0.0,1.0,0.0,0.0
A,2023-10-30,0.0,0.857,0.143,0.21075
A,2023-10-31,0.0,1.0,0.0,0.0
A,2023-11-01,0.0,0.789,0.211,0.34
A,2023-11-07,0.0,1.0,0.0,0.0
A,2023-11-08,0.0,0.8945000000000001,0.1055,0.17
A,2023-11-13,0.0,0.7966666666666665,0.20333333333333334,0.35633333333333334
A,2023-11-14,0.0,0.9145,0.0855,0.23835
A,2023-11-15,0.0,0.892,0.108,0.148
A,2023-11-16,0.0,0.7985,0.2015,0.32985
A,2023-11-17,0.0,1.0,0.0,0.0
A,2023-11-19,0.0,0.704,0.296,0.6369
A,2023-11-20,0.0,0.9546250000000001,0.045375,0.034937499999999996
A,2023-11-21,0.0505,0.8940999999999999,0.055400000000000005,0.012190000000000001
A,2023-12-04,0.0,0.805,0.195,0.4404
A,2023-12-06,0.0,1.0,0.0,0.0
A,2023-12-07,0.0,0.7865,0.2135,0.38585
A,2023-12-09,0.0,0.784,0.216,0.296
A,2023-12-14,0.0,1.0,0.0,0.0
A,2023-12-16,0.0,0.784,0.216,0.296
A,2023-12-18,0.0,1.0,0.0,0.0
A,2023-12-20,0.0,1.0,0.0,0.0
A,2023-12-21,0.0,1.0,0.0,0.0
A,2023-12-22,0.0,1.0,0.0,0.0
A,2023-12-28,0.0,0.82,0.18,0.296
A,2024-01-05,0.0,1.0,0.0,0.0
A,2024-01-09,0.0,0.707,0.293,0.4404
A,2024-01-16,0.0,1.0,0.0,0.0
A,2024-01-17,0.0,0.753,0.247,0.3182
A,2024-01-22,0.0,0.728,0.272,0.4576
A,2024-01-25,0.0,1.0,0.0,0.0
A,2024-01-26,0.0,1.0,0.0,0.0
A,2024-01-29,0.0,0.82,0.18,0.3182
A,2024-01-30,0.0,0.9335,0.0665,0.125
A,2024-01-31,0.0,0.792,0.208,0.4939
A,2024-02-02,0.0,1.0,0.0,0.0
AAL,2023-12-17,0.0,1.0,0.0,0.0
AAL,2023-12-18,0.0,0.797,0.203,0.4215
AAL,2023-12-19,0.0,0.963,0.037,0.03415
AAL,2023-12-21,0.0,0.8175,0.1825,0.1752
AAL,2023-12-22,0.06833333333333333,0.8743333333333334,0.057333333333333326,0.05296666666666667
AAL,2023-12-27,0.1805,0.714,0.1055,-0.09279999999999997
AAL,2023-12-28,0.2345,0.6425000000000001,0.1225,-0.0864
AAL,2023-12-29,0.0,1.0,0.0,0.0
